с 2026-09-17T00:00:00, всего веса 63.6M
 54.5%  d--Claud-Games | главная | sonnet-5  запросов 1957  кэш 234.2M  запись1ч 3.2M  запись5м 0.0M  вывод 1.0M  картинок 0  контекст до 167k
 22.8%  d--Claud-Games | developer | sonnet-5  запросов 1437  кэш 96.1M  запись1ч 0.0M  запись5м 3.5M  вывод 0.1M  картинок 0  контекст до 166k
 12.7%  d--Claud-Games | tester | haiku-4-5-20251001  запросов 926  кэш 51.4M  запись1ч 0.0M  запись5м 2.4M  вывод 0.0M  картинок 0  контекст до 148k
  4.9%  d--Claud-Games | reviewer | sonnet-5  запросов 352  кэш 18.5M  запись1ч 0.0M  запись5м 1.0M  вывод 0.0M  картинок 0  контекст до 132k
  1.7%  d--Claud-Games | tester | sonnet-5  запросов 110  кэш 7.6M  запись1ч 0.0M  запись5м 0.3M  вывод 0.0M  картинок 0  контекст до 115k
  1.4%  d--Claud-amazon-ppc-autopilot | главная | sonnet-5  запросов 19  кэш 1.9M  запись1ч 0.3M  запись5м 0.0M  вывод 0.0M  картинок 0  контекст до 157k
  0.5%  d--Claud-Games | designer | sonnet-5  запросов 57  кэш 1.5M  запись1ч 0.0M  запись5м 0.1M  вывод 0.0M  картинок 0  контекст до 47k
  0.5%  d--Claud-amazon-ppc-autopilot | главная | fable-5  запросов 1  кэш 0.0M  запись1ч 0.2M  запись5м 0.0M  вывод 0.0M  картинок 0  контекст до 155k
  0.4%  d--Claud-Games | developer | opus-5  запросов 22  кэш 1.5M  запись1ч 0.0M  запись5м 0.1M  вывод 0.0M  картинок 0  контекст до 99k
  0.1%  d--Claud-Games | смотритель | sonnet-5  запросов 10  кэш 0.1M  запись1ч 0.0M  запись5м 0.1M  вывод 0.0M  картинок 0  контекст до 15k
  0.1%  d--Claud-news | главная | opus-5  запросов 1  кэш 0.0M  запись1ч 0.0M  запись5м 0.0M  вывод 0.0M  картинок 0  контекст до 32k
  0.1%  d--Claud-Games | general-purpose | sonnet-5  запросов 1  кэш 0.0M  запись1ч 0.0M  запись5м 0.0M  вывод 0.0M  картинок 0  контекст до 45k
  0.1%  d--Claud-Games | Explore | sonnet-5  запросов 5  кэш 0.1M  запись1ч 0.0M  запись5м 0.0M  вывод 0.0M  картинок 0  контекст до 30k
  0.1%  d--Claud-Games | developer | haiku-4-5-20251001  запросов 5  кэш 0.1M  запись1ч 0.0M  запись5м 0.0M  вывод 0.0M  картинок 0  контекст до 28k
по дням: 2026-09-16 18% · 2026-09-17 82%
