file,description,screen,width,height,source_rect,z_index,method,usage
references/lobby-original.png,"Полный исходный макет; эталон дизайна, не фон приложения",lobby,941,1672,,0,original,reference
references/gameplay-original.png,"Полный исходный макет; эталон дизайна, не фон приложения",gameplay,941,1672,,0,original,reference
lobby/hero-board-scene.png,"Фото доски справа в баннере рейтинга. Фрагмент с фоном и обрезанным нижним краем как в макете; ставить справа, не растягивать.",lobby,528,206,"[381, 239, 909, 445]",2,exact-crop,runtime
lobby/trophy-large.png,Кубок слева от личного рейтинга. Отделён от тёмного фона.,lobby,80,83,"[64, 300, 144, 383]",3,crop-with-alpha-mask,runtime
lobby/trophy-small.png,Кубок перед заголовком «Рейтинг игроков».,lobby,43,44,"[64, 1144, 107, 1188]",3,crop-with-alpha-mask,runtime
lobby/medal-1.png,Медаль 1-го места. Цифра уже внутри; только для этого места.,lobby,46,46,"[63, 1219, 109, 1265]",3,crop-with-alpha-mask,runtime
lobby/medal-2.png,Медаль 2-го места. Цифра уже внутри; только для этого места.,lobby,46,46,"[63, 1285, 109, 1331]",3,crop-with-alpha-mask,runtime
lobby/medal-3.png,Медаль 3-го места. Цифра уже внутри; только для этого места.,lobby,46,46,"[63, 1353, 109, 1399]",3,crop-with-alpha-mask,runtime
gameplay/checker-black.png,Чёрная фишка сверху. Повторять для каждой фишки; тень добавлять CSS.,gameplay,60,60,"[52, 404, 112, 464]",4,crop-with-alpha-mask,runtime
gameplay/checker-ivory.png,Светлая фишка сверху. Повторять для каждой фишки; тень добавлять CSS.,gameplay,59,59,"[375, 403, 434, 462]",4,crop-with-alpha-mask,runtime
gameplay/die-photo-3.png,Точный фотосрез кубика 3; для сверки стиля. В игре применять единый набор SVG из shared/dice.,gameplay,64,66,"[575, 731, 639, 797]",5,crop-with-alpha-mask,reference
gameplay/die-photo-2.png,Точный фотосрез кубика 2; для сверки стиля. В игре применять единый набор SVG из shared/dice.,gameplay,65,67,"[680, 738, 745, 805]",5,crop-with-alpha-mask,reference
shared/icons/back.png,Назад,lobby,25,35,"[41, 30, 66, 65]",4,crop-with-alpha-mask,runtime
shared/icons/more.png,"Меню, три точки",lobby,50,20,"[855, 37, 905, 57]",4,crop-with-alpha-mask,runtime
shared/icons/book.png,Правила,lobby,42,39,"[712, 128, 754, 167]",4,crop-with-alpha-mask,runtime
shared/icons/bot.png,Режим с ботом,lobby,83,80,"[80, 540, 163, 620]",3,crop-with-alpha-mask,runtime
shared/icons/online.png,Режим онлайн,lobby,85,83,"[521, 538, 606, 621]",3,crop-with-alpha-mask,runtime
shared/icons/nav-games.png,Навигация: игры,lobby,72,54,"[119, 1547, 191, 1601]",3,crop-with-alpha-mask,runtime
shared/icons/nav-friends.png,Навигация: друзья,lobby,59,54,"[442, 1547, 501, 1601]",3,crop-with-alpha-mask,runtime
shared/icons/nav-profile.png,Навигация: профиль,lobby,53,55,"[760, 1546, 813, 1601]",3,crop-with-alpha-mask,runtime
shared/icons/undo.png,Отмена хода,gameplay,48,45,"[86, 1483, 134, 1528]",3,crop-with-alpha-mask,runtime
shared/icons/chat.png,Чат,gameplay,52,43,"[823, 1467, 875, 1510]",3,crop-with-alpha-mask,runtime
shared/icons/avatar-neutral.png,"Силуэт соперника, поверх круглого фона",gameplay,45,52,"[62, 280, 107, 332]",3,crop-with-alpha-mask,runtime
shared/icons/avatar-active.png,"Силуэт своего игрока, поверх круглого фона",gameplay,45,51,"[62, 1197, 107, 1248]",3,crop-with-alpha-mask,runtime
gameplay/board-empty.png,"Пустая доска: рамка оригинальная, поле собрано из чистых полос исходного макета. 24 пункта. Текстура местами повторяется; не извлечённый скрытый слой.",gameplay,913,793,"[14, 365, 927, 1158]",1,reconstructed-from-source-crops,runtime
gameplay/board-with-pieces-reference.png,"Исходная доска с фишками, кубиками и подсветкой. Только эталон композиции.",gameplay,913,793,"[14, 365, 927, 1158]",1,exact-crop,reference
shared/wood-texture.png,"Чистый фрагмент дерева из середины поля; небольшой образец, не HD-текстура.",gameplay,66,89,"[247, 721, 313, 810]",0,exact-crop,runtime
shared/dark-texture.png,"Чистый фрагмент тёмного фона; использовать с CSS-градиентом, при повторении возможны швы.",gameplay,452,93,"[245, 1579, 697, 1672]",0,exact-crop,runtime
references/crops/lobby-header.png,Верхняя панель — образец для вёрстки; текст и состояния реализовать кодом.,lobby,880,57,"[32, 24, 912, 81]",2,exact-crop,reference
references/crops/lobby-title.png,Название и подзаголовок — образец для вёрстки; текст и состояния реализовать кодом.,lobby,588,112,"[31, 107, 619, 219]",2,exact-crop,reference
references/crops/lobby-rules.png,Кнопка правил — образец для вёрстки; текст и состояния реализовать кодом.,lobby,235,76,"[677, 110, 912, 186]",2,exact-crop,reference
references/crops/lobby-rating-banner.png,Баннер личного рейтинга — образец для вёрстки; текст и состояния реализовать кодом.,lobby,879,208,"[32, 238, 911, 446]",2,exact-crop,reference
references/crops/lobby-mode-bot.png,Выбранный режим: бот — образец для вёрстки; текст и состояния реализовать кодом.,lobby,435,137,"[31, 513, 466, 650]",2,exact-crop,reference
references/crops/lobby-mode-online.png,Режим: онлайн — образец для вёрстки; текст и состояния реализовать кодом.,lobby,436,137,"[476, 513, 912, 650]",2,exact-crop,reference
references/crops/lobby-variant-tabs.png,Переключатель варианта нард — образец для вёрстки; текст и состояния реализовать кодом.,lobby,880,78,"[32, 717, 912, 795]",2,exact-crop,reference
references/crops/lobby-difficulty-easy.png,Лёгкая сложность — образец для вёрстки; текст и состояния реализовать кодом.,lobby,289,84,"[32, 857, 321, 941]",2,exact-crop,reference
references/crops/lobby-difficulty-medium.png,Средняя сложность — образец для вёрстки; текст и состояния реализовать кодом.,lobby,282,84,"[330, 857, 612, 941]",2,exact-crop,reference
references/crops/lobby-difficulty-hard.png,Сложная сложность — образец для вёрстки; текст и состояния реализовать кодом.,lobby,290,84,"[622, 857, 912, 941]",2,exact-crop,reference
references/crops/lobby-play-button.png,Главная кнопка — образец для вёрстки; текст и состояния реализовать кодом.,lobby,880,101,"[32, 961, 912, 1062]",2,exact-crop,reference
references/crops/lobby-leaderboard.png,Таблица рейтинга — образец для вёрстки; текст и состояния реализовать кодом.,lobby,880,379,"[32, 1123, 912, 1502]",2,exact-crop,reference
references/crops/lobby-bottom-navigation.png,Нижняя навигация — образец для вёрстки; текст и состояния реализовать кодом.,lobby,941,148,"[0, 1524, 941, 1672]",2,exact-crop,reference
references/crops/gameplay-header.png,Верхняя панель — образец для вёрстки; текст и состояния реализовать кодом.,gameplay,880,57,"[32, 24, 912, 81]",2,exact-crop,reference
references/crops/gameplay-title.png,Название и тип партии — образец для вёрстки; текст и состояния реализовать кодом.,gameplay,543,120,"[31, 110, 574, 230]",2,exact-crop,reference
references/crops/gameplay-opponent.png,Панель соперника — образец для вёрстки; текст и состояния реализовать кодом.,gameplay,879,104,"[33, 252, 912, 356]",2,exact-crop,reference
references/crops/gameplay-opponent-timer.png,Таймер соперника — образец для вёрстки; текст и состояния реализовать кодом.,gameplay,221,81,"[690, 267, 911, 348]",2,exact-crop,reference
references/crops/gameplay-player.png,Панель игрока — образец для вёрстки; текст и состояния реализовать кодом.,gameplay,879,105,"[33, 1174, 912, 1279]",2,exact-crop,reference
references/crops/gameplay-player-timer.png,Таймер игрока — образец для вёрстки; текст и состояния реализовать кодом.,gameplay,221,81,"[690, 1183, 911, 1264]",2,exact-crop,reference
references/crops/gameplay-turn-badge.png,Плашка: ваш ход — образец для вёрстки; текст и состояния реализовать кодом.,gameplay,266,74,"[338, 1295, 604, 1369]",2,exact-crop,reference
references/crops/gameplay-turn-hint.png,Подсказка выбора фишки — образец для вёрстки; текст и состояния реализовать кодом.,gameplay,252,38,"[349, 1381, 601, 1419]",2,exact-crop,reference
references/crops/gameplay-undo-button.png,Отменить ход — образец для вёрстки; текст и состояния реализовать кодом.,gameplay,376,125,"[32, 1444, 408, 1569]",2,exact-crop,reference
references/crops/gameplay-confirm-button.png,Подтвердить — образец для вёрстки; текст и состояния реализовать кодом.,gameplay,352,125,"[419, 1444, 771, 1569]",2,exact-crop,reference
references/crops/gameplay-chat-button.png,Чат — образец для вёрстки; текст и состояния реализовать кодом.,gameplay,126,125,"[785, 1444, 911, 1569]",2,exact-crop,reference
references/crops/gameplay-selected-checker.png,Подсвеченная фишка — образец для вёрстки; текст и состояния реализовать кодом.,gameplay,78,77,"[501, 1041, 579, 1118]",2,exact-crop,reference
references/crops/gameplay-target-marker.png,Маркер допустимого хода — образец для вёрстки; текст и состояния реализовать кодом.,gameplay,52,54,"[643, 1054, 695, 1108]",2,exact-crop,reference
shared/icons/play.svg,Векторная кнопка play без потери качества при масштабировании,shared,64,64,,3,recreated-vector,runtime
shared/icons/check.svg,Галочка кнопки подтверждения,shared,64,64,,3,recreated-vector,runtime
shared/icons/lightning.svg,Молния статуса хода,shared,64,64,,3,recreated-vector,runtime
shared/icons/arrow-right.svg,Стрелка «Все»,shared,64,64,,3,recreated-vector,runtime
shared/icons/difficulty-easy.svg,Индикатор сложности easy; подпись отдельно текстом,shared,64,64,,3,recreated-vector,runtime
shared/icons/difficulty-medium.svg,Индикатор сложности medium; подпись отдельно текстом,shared,64,64,,3,recreated-vector,runtime
shared/icons/difficulty-hard.svg,Индикатор сложности hard; подпись отдельно текстом,shared,64,64,,3,recreated-vector,runtime
gameplay/target-ring.svg,Кольцо допустимого хода,shared,64,64,,2,recreated-vector,runtime
gameplay/selection-ring.svg,Кольцо выбранной фишки,shared,80,80,,5,recreated-vector,runtime
shared/dice/die-1.svg,"Кубик 1; геометрически правильные точки. Воссозданный вектор в цветах макета, не фотосрез.",shared,100,100,,5,recreated-vector,runtime
shared/dice/die-2.svg,"Кубик 2; геометрически правильные точки. Воссозданный вектор в цветах макета, не фотосрез.",shared,100,100,,5,recreated-vector,runtime
shared/dice/die-3.svg,"Кубик 3; геометрически правильные точки. Воссозданный вектор в цветах макета, не фотосрез.",shared,100,100,,5,recreated-vector,runtime
shared/dice/die-4.svg,"Кубик 4; геометрически правильные точки. Воссозданный вектор в цветах макета, не фотосрез.",shared,100,100,,5,recreated-vector,runtime
shared/dice/die-5.svg,"Кубик 5; геометрически правильные точки. Воссозданный вектор в цветах макета, не фотосрез.",shared,100,100,,5,recreated-vector,runtime
shared/dice/die-6.svg,"Кубик 6; геометрически правильные точки. Воссозданный вектор в цветах макета, не фотосрез.",shared,100,100,,5,recreated-vector,runtime
